1,PULSEOXIMETER / SPO2,null
2,WEIGHING SCALE,null
3,SPHYGMOMANOMETER,null
4,DEFIBRILLATOR,null
5,TDS Meter                                    ,null
6,SUCTION MACHINE ,null
7,ECG MACHINE,null
8,AIR FLOW O2 GAUGE / FLOW METER,null
9,Patient Monitor,null
10,HOSPITAL BED/STRECHER,null
11,ANESTHESIA MACHINE,null
12,AUTOCLAVE,null
13,BLOOD BANK REFRIGERATOR,null
14,CAUTERY MACHINE,null
15,CENTRIFUGE,null
16,COLD PLATE,null
17,CRYO THERAPY,null
18,CRYOSTAT MICROTOME             ,null
19,DEEP FREEZER,null
20,DENTAL SUCTION MACHINE,null
21,DIGITAL BP App,null
22,DROP LIGHT,null
23,DRY BATH,null
24,DRYING OVEN ,null
25,EMBEDDING MACHINE,null
26,ERGOMETER,null
27,FETAL DOPPLER,null
28,FETAL MONITOR,null
29,FLOATATION BATH,null
30,INFANT INCUBATOR,null
31,Infrared Thermometer              ,null
32,INFUSION PUMP,null
33,LABORATORY INCUBATOR,null
34,Laryngoscope ,null
35,MEDICAL REFRIGERATOR,null
36,MICROSCOPE,null
37,Microtome,null
38,NEBULIZER,null
39,OXYGEN CONCENTRATOR,null
40,PARAFIN WAX BATH,null
41,PATIENT MONITOR,null
42,PHOTOTHERAPY UNIT / BILI LIGHT,null
43,PIPPETTE,null
44,Plasma Expressor                ,null
45,PORTABLE TENS,null
46,RADIANT WARMER,null
47,RESPIRATOR,null
48,SHOCKWAVE,null
49,SURGICAL LIGHTS,null
50,O.R TABLE,null
51,SYRINGE PUMP,null
52,TRACTION MACHINE,null
53,TREADMILL,null
54,ULTRASOUND,null
55,ULTRASOUND THERAPY,null
56,VACUUM REGULATOR,null
57,VEIN TRACER ,null
58,VENTILATOR,null
59,WATER BATH,null
60,X-RAY MACHINE,null
61,BABY WEIGHING SCALE,null
62,HOLTER ECG,null
63,OTOREAD - SCREENER,null
64,CARDIAC MONITOR,null
65,TELEMETER,null
66,HYDROCOLLATOR,null
67,ANALYTICAL BALANCE,null
68,BIOSAFETY CABINET,null
69,OPTHALMOSCOPE,null
70,O.R LIGHT (SINGLE HEAD ),null
71,O.R LIGHTS ( DOUBLE HEAD ),null
72,LARYNGOSCOPE,null
73,UV LIGHTS,null
74,AUDIO METER,null
75,BP / SPHYGMOMANOMETER,null
76,O.R LIGHT,null
77,PHARMACY REFRIGERATOR,null
78,PULSE GENERATOR PACEMAKER,null
79,GLUCOMETER,null
80,DIGITAL THERMOMETER,null
81,PATIENT WARMER,null
82,AMBULATORY BP,null
83,HIGH FLOW NASAL CANNULA,null
84,SHOCKMASTER,null
85,Computer Monitor,null
86,BLOOD WARMER,null
87,DERMATOME,null
88,Platelet Rotator,null
89,Laboratory Oven,null
90,Hot Plate,null
91,Biomedical Refrigerator,null
